t,event,task,x,y,scheduled_start,actual_start,schedule_deviation,note,phi1_bool,phi1_rob,phi2_bool,phi2_rob,phi3_bool,phi3_rob,phi_all_bool,phi_all_rob,speed,vmax
86.268,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 42.33s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
87.279,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 43.34s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
88.301,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 44.36s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
89.335,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 45.40s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
90.370,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 46.43s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
91.407,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 47.47s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
92.429,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 48.49s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
93.444,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 49.51s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
94.470,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 50.53s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
95.490,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 51.55s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
96.516,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 52.58s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
97.550,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 53.61s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
98.586,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 54.65s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
99.620,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 55.68s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
100.662,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 56.72s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
101.695,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 57.76s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
102.723,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 58.79s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
103.743,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 59.81s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
104.771,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 60.83s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
105.794,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 61.86s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
106.814,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 62.88s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
107.845,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 63.91s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
108.851,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 64.91s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
109.874,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 65.94s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
110.896,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 66.96s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
111.916,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 67.98s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
112.951,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 69.01s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
113.984,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 70.05s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
115.015,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 71.08s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
116.027,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 72.09s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
117.057,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 73.12s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
118.081,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 74.14s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
119.111,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 75.17s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
120.138,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 76.20s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
121.163,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 77.23s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
122.197,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 78.26s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
123.226,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 79.29s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
124.252,overrun,A_leg2,4.758,-0.505,27.962,27.496,0.466,OVERRUN by 80.32s,1,0.0500,0,-1.4475,1,0.3000,0,-1.4475,0.000,0.300
